,Exp3ImputeRMSE
/tpot2_base_normal_MAR_0.01/,22658.01300210923
/tpot2_base_normal_MAR_0.1/,793108445093.8845
/tpot2_base_normal_MAR_0.3/,898280835477.8123
/tpot2_base_normal_MAR_0.5/,10179.715640439812
/tpot2_base_normal_MAR_0.9/,15614.482616218858
/tpot2_base_normal_MNAR_0.01/,736197290806.4222
/tpot2_base_normal_MNAR_0.1/,317274548276.18884
/tpot2_base_normal_MNAR_0.3/,347101532534.5801
/tpot2_base_normal_MNAR_0.5/,296989294707.6858
/tpot2_base_normal_MNAR_0.9/,301494257072.19354
/tpot2_base_normal_MCAR_0.01/,611389260803.631
/tpot2_base_normal_MCAR_0.1/,666528255495.2754
/tpot2_base_normal_MCAR_0.3/,311335222119.1734
/tpot2_base_normal_MCAR_0.5/,295768813401.69855
/tpot2_base_normal_MCAR_0.9/,298380959248.1677
/tpot2_base_imputation_MAR_0.01/,386230535429.90594
/tpot2_base_imputation_MAR_0.1/,4903.487661919955
/tpot2_base_imputation_MAR_0.3/,538763341925.3721
/tpot2_base_imputation_MAR_0.5/,910.2745483233381
/tpot2_base_imputation_MAR_0.9/,465073700236.93854
/tpot2_base_imputation_MNAR_0.01/,268811661898.41116
/tpot2_base_imputation_MNAR_0.1/,331690911088.91925
/tpot2_base_imputation_MNAR_0.3/,306547264729.34296
/tpot2_base_imputation_MNAR_0.5/,322444342935.02454
/tpot2_base_imputation_MNAR_0.9/,
/tpot2_base_imputation_MCAR_0.01/,456049455061.357
/tpot2_base_imputation_MCAR_0.1/,292871386288.7788
/tpot2_base_imputation_MCAR_0.3/,318030139671.63257
/tpot2_base_imputation_MCAR_0.5/,309086519108.11597
/tpot2_base_imputation_MCAR_0.9/,
