,Exp3ImputeRMSE
/tpot2_base_normal_MAR_0.01/,461.49963824477214
/tpot2_base_normal_MAR_0.1/,43.345668990854094
/tpot2_base_normal_MAR_0.3/,21.714317525785553
/tpot2_base_normal_MAR_0.5/,121.19189145066744
/tpot2_base_normal_MAR_0.9/,48.82004275299205
/tpot2_base_normal_MNAR_0.01/,28.47462903875056
/tpot2_base_normal_MNAR_0.1/,34.08524728683111
/tpot2_base_normal_MNAR_0.3/,34.584380052932914
/tpot2_base_normal_MNAR_0.5/,34.39038962890259
/tpot2_base_normal_MNAR_0.9/,34.680710620293425
/tpot2_base_normal_MCAR_0.01/,35.43861414850735
/tpot2_base_normal_MCAR_0.1/,59.809401774673695
/tpot2_base_normal_MCAR_0.3/,34.23334982086702
/tpot2_base_normal_MCAR_0.5/,34.691995634919564
/tpot2_base_normal_MCAR_0.9/,34.88347573802175
/tpot2_base_imputation_MAR_0.01/,
/tpot2_base_imputation_MAR_0.1/,
/tpot2_base_imputation_MAR_0.3/,7.721425938918254
/tpot2_base_imputation_MAR_0.5/,48.28129447298162
/tpot2_base_imputation_MAR_0.9/,
/tpot2_base_imputation_MNAR_0.01/,38.938885287346274
/tpot2_base_imputation_MNAR_0.1/,34.014434998370476
/tpot2_base_imputation_MNAR_0.3/,34.410308245176815
/tpot2_base_imputation_MNAR_0.5/,35.12526015185339
/tpot2_base_imputation_MNAR_0.9/,34.715318306583214
/tpot2_base_imputation_MCAR_0.01/,37.692832106526964
/tpot2_base_imputation_MCAR_0.1/,34.85823183479452
/tpot2_base_imputation_MCAR_0.3/,34.92475837561642
/tpot2_base_imputation_MCAR_0.5/,34.561074643550626
/tpot2_base_imputation_MCAR_0.9/,
