,Exp3ImputeRMSE
/tpot2_base_normal_MAR_0.01/,8.248226643219228
/tpot2_base_normal_MAR_0.1/,17.231865941909973
/tpot2_base_normal_MAR_0.3/,6.12547468567588
/tpot2_base_normal_MAR_0.5/,0.6475179418805085
/tpot2_base_normal_MAR_0.9/,22.053193906612655
/tpot2_base_normal_MNAR_0.01/,11.253482349094444
/tpot2_base_normal_MNAR_0.1/,16.53407817119252
/tpot2_base_normal_MNAR_0.3/,14.857399869116039
/tpot2_base_normal_MNAR_0.5/,13.476546545840904
/tpot2_base_normal_MNAR_0.9/,14.074265148090879
/tpot2_base_normal_MCAR_0.01/,12.455122641276605
/tpot2_base_normal_MCAR_0.1/,11.877718178030696
/tpot2_base_normal_MCAR_0.3/,13.288833194508356
/tpot2_base_normal_MCAR_0.5/,13.488748677481679
/tpot2_base_normal_MCAR_0.9/,13.715557017721885
/tpot2_base_imputation_MAR_0.01/,
/tpot2_base_imputation_MAR_0.1/,
/tpot2_base_imputation_MAR_0.3/,
/tpot2_base_imputation_MAR_0.5/,
/tpot2_base_imputation_MAR_0.9/,
/tpot2_base_imputation_MNAR_0.01/,
/tpot2_base_imputation_MNAR_0.1/,
/tpot2_base_imputation_MNAR_0.3/,
/tpot2_base_imputation_MNAR_0.5/,
/tpot2_base_imputation_MNAR_0.9/,
/tpot2_base_imputation_MCAR_0.01/,
/tpot2_base_imputation_MCAR_0.1/,
/tpot2_base_imputation_MCAR_0.3/,
/tpot2_base_imputation_MCAR_0.5/,
/tpot2_base_imputation_MCAR_0.9/,
