,Exp3ImputeRMSE
/tpot2_base_normal_MAR_0.01/,2.5239113964532365
/tpot2_base_normal_MAR_0.1/,2.5676582010292264
/tpot2_base_normal_MAR_0.3/,2.5326956191464327
/tpot2_base_normal_MAR_0.5/,2.524453500291543
/tpot2_base_normal_MAR_0.9/,2.7426725235208145
/tpot2_base_normal_MNAR_0.01/,2.5994807666190005
/tpot2_base_normal_MNAR_0.1/,2.495507023974476
/tpot2_base_normal_MNAR_0.3/,2.5415255285614573
/tpot2_base_normal_MNAR_0.5/,2.550124504867915
/tpot2_base_normal_MNAR_0.9/,2.5386049478442394
/tpot2_base_normal_MCAR_0.01/,2.4459797392798306
/tpot2_base_normal_MCAR_0.1/,2.5686935969778526
/tpot2_base_normal_MCAR_0.3/,2.5260368751850804
/tpot2_base_normal_MCAR_0.5/,2.5396060084896175
/tpot2_base_normal_MCAR_0.9/,2.5354489549414208
/tpot2_base_imputation_MAR_0.01/,2.408635862382949
/tpot2_base_imputation_MAR_0.1/,2.498543549630633
/tpot2_base_imputation_MAR_0.3/,2.3159819216669857
/tpot2_base_imputation_MAR_0.5/,2.338444136995408
/tpot2_base_imputation_MAR_0.9/,2.7101237239893634
/tpot2_base_imputation_MNAR_0.01/,
/tpot2_base_imputation_MNAR_0.1/,
/tpot2_base_imputation_MNAR_0.3/,2.5232077040766705
/tpot2_base_imputation_MNAR_0.5/,2.5438983389551395
/tpot2_base_imputation_MNAR_0.9/,2.536177299041548
/tpot2_base_imputation_MCAR_0.01/,2.9918069942610086
/tpot2_base_imputation_MCAR_0.1/,
/tpot2_base_imputation_MCAR_0.3/,
/tpot2_base_imputation_MCAR_0.5/,2.5287843583000416
/tpot2_base_imputation_MCAR_0.9/,2.5320651805123613
