,Exp3ImputeRMSE
/tpot2_base_normal_MAR_0.01/,0.14451167772882578
/tpot2_base_normal_MAR_0.1/,0.24425178495195168
/tpot2_base_normal_MAR_0.3/,0.1861325355913559
/tpot2_base_normal_MAR_0.5/,0.1747968774261106
/tpot2_base_normal_MAR_0.9/,0.23883032198903456
/tpot2_base_normal_MNAR_0.01/,0.18255899818219504
/tpot2_base_normal_MNAR_0.1/,0.15080241701868574
/tpot2_base_normal_MNAR_0.3/,0.24666791481437297
/tpot2_base_normal_MNAR_0.5/,0.24289602388886267
/tpot2_base_normal_MNAR_0.9/,0.1978948805560877
/tpot2_base_normal_MCAR_0.01/,0.1957857221400831
/tpot2_base_normal_MCAR_0.1/,0.2385796090866952
/tpot2_base_normal_MCAR_0.3/,0.16707758461208366
/tpot2_base_normal_MCAR_0.5/,0.23260719573510202
/tpot2_base_normal_MCAR_0.9/,0.19802521994718594
/tpot2_base_imputation_MAR_0.01/,0.20318179128672886
/tpot2_base_imputation_MAR_0.1/,
/tpot2_base_imputation_MAR_0.3/,0.2105602185579539
/tpot2_base_imputation_MAR_0.5/,0.21512649679820867
/tpot2_base_imputation_MAR_0.9/,0.20442322848788413
/tpot2_base_imputation_MNAR_0.01/,0.2884091254460352
/tpot2_base_imputation_MNAR_0.1/,
/tpot2_base_imputation_MNAR_0.3/,0.17253665739826077
/tpot2_base_imputation_MNAR_0.5/,0.23642804772561557
/tpot2_base_imputation_MNAR_0.9/,0.19626588627857883
/tpot2_base_imputation_MCAR_0.01/,
/tpot2_base_imputation_MCAR_0.1/,0.21507726242302497
/tpot2_base_imputation_MCAR_0.3/,0.24294265850415114
/tpot2_base_imputation_MCAR_0.5/,0.18544841277076124
/tpot2_base_imputation_MCAR_0.9/,0.1797522524005167
