,Exp3ImputeRMSE
/tpot2_base_normal_MAR_0.01/,4452315.120246427
/tpot2_base_normal_MAR_0.1/,3225939.6583213652
/tpot2_base_normal_MAR_0.3/,2423449.4274730007
/tpot2_base_normal_MAR_0.5/,4053608.396428833
/tpot2_base_normal_MAR_0.9/,4796452.121860003
/tpot2_base_normal_MNAR_0.01/,3920985.395569166
/tpot2_base_normal_MNAR_0.1/,3026894.282313147
/tpot2_base_normal_MNAR_0.3/,3043043.807136766
/tpot2_base_normal_MNAR_0.5/,3101128.600049781
/tpot2_base_normal_MNAR_0.9/,6235065.502810299
/tpot2_base_normal_MCAR_0.01/,3023565.598576786
/tpot2_base_normal_MCAR_0.1/,3059625.6360991523
/tpot2_base_normal_MCAR_0.3/,3048937.1386539987
/tpot2_base_normal_MCAR_0.5/,3074565.1679320647
/tpot2_base_normal_MCAR_0.9/,3542186.373497415
/tpot2_base_imputation_MAR_0.01/,2421317.1329850643
/tpot2_base_imputation_MAR_0.1/,2910158.4608650743
/tpot2_base_imputation_MAR_0.3/,2881442.5139415767
/tpot2_base_imputation_MAR_0.5/,3276250.1068457053
/tpot2_base_imputation_MAR_0.9/,3246586.531038724
/tpot2_base_imputation_MNAR_0.01/,2583472.232051788
/tpot2_base_imputation_MNAR_0.1/,2904715.9552441924
/tpot2_base_imputation_MNAR_0.3/,
/tpot2_base_imputation_MNAR_0.5/,3090295.1992523004
/tpot2_base_imputation_MNAR_0.9/,3067970.4124619197
/tpot2_base_imputation_MCAR_0.01/,
/tpot2_base_imputation_MCAR_0.1/,2974811.3543763435
/tpot2_base_imputation_MCAR_0.3/,3085603.425562843
/tpot2_base_imputation_MCAR_0.5/,3009679.623821462
/tpot2_base_imputation_MCAR_0.9/,3060161.9637525566
