,Exp1ImputeRMSE,Exp2ImputeModel,Exp2train_auroc,Exp2train_acc,Exp2train_bal_acc,Exp2train_logloss,Exp2test_auroc,Exp2test_acc,Exp2test_bal_acc,Exp2test_logloss,Exp2impute_auroc,Exp2impute_acc,Exp2impute_bal_acc,Exp2impute_logloss,Exp2impute_pipe,Exp2duration,Exp3ImputeModel,Exp3train_auroc,Exp3train_acc,Exp3train_bal_acc,Exp3train_logloss,Exp3impute_auroc,Exp3impute_acc,Exp3impute_bal_acc,Exp3impute_logloss,Exp3impute_pipe,Exp3duration
MAR_0.01/,2.415789996935378,"{'model_name': 'SimpleImputer', 'strategy': 'median'}",0.999881335064503,0.9847777777777778,0.9846560804181959,0.06178448661710778,0.999780415937455,0.966,0.9656678409508922,0.10819405350546984,0.9992140269240409,0.9585,0.9581374376741556,0.13708421237356982,['SVC_1'],20748.185216903687,"[('SVC_1', 'SimpleImputer_1')]",0.9999351046571502,0.9893888888888889,0.9892917075798331,0.050821835485948035,0.9995159056078864,0.9655,0.9651905004299451,0.1254649200414136,"[('SVC_1', 'SimpleImputer_1')]",30023.991109132767
MAR_0.1/,2.3327189988535606,"{'model_name': 'SimpleImputer', 'strategy': 'mean'}",0.9999366213506431,0.9895555555555555,0.9894391382016529,0.04639766040497962,0.999799650654174,0.973,0.9726575342931192,0.10183965275421951,0.9927827218767662,0.876,0.875282526192181,0.453249889145634,['SVC_1'],25438.936304092407,"[('XGBClassifier_1', 'SimpleImputer_1')]",0.9999999233086895,0.9997222222222222,0.9997207826839383,0.03212519916316127,0.9966745006597575,0.906,0.9055421452963505,0.33711901026140995,"[('XGBClassifier_1', 'SimpleImputer_1')]",4168.084187030792
MAR_0.3/,2.16784784971332,"{'model_name': 'SimpleImputer', 'strategy': 'median'}",1.0,1.0,1.0,0.0010400191742032192,0.9998325718048868,0.9755,0.9752949218619904,0.08439049633718541,0.9911383521657091,0.8425,0.8427008318762987,0.6129486251142883,['GradientBoostingClassifier_1'],13089.29501914978,"[('XGBClassifier_1', 'SimpleImputer_1')]",1.0,1.0,1.0,0.008782720133178499,0.977494766415641,0.7825,0.782145460064248,0.9950044309906596,"[('XGBClassifier_1', 'SimpleImputer_1')]",4223.592347383499
MAR_0.5/,2.431312753131127,"{'model_name': 'SimpleImputer', 'strategy': 'mean'}",0.9999363566844569,0.9898888888888889,0.9897897352624245,0.045986866853323385,0.9997939016663696,0.973,0.9726575342931192,0.10175237728374924,0.911551321135251,0.499,0.49842480743055223,1.9171463094274581,['SVC_1'],26540.295167684555,"[('XGBClassifier_1', 'SimpleImputer_1')]",0.9999999705654129,0.9998333333333334,0.9998327023562804,0.02781712725732833,0.9379962404587109,0.5155,0.5151275341922955,1.8653099844615477,"[('XGBClassifier_1', 'SimpleImputer_1')]",22491.338222265244
MAR_0.9/,2.343144509100905,"{'model_name': 'SimpleImputer', 'strategy': 'mean'}",1.0,1.0,1.0,0.007977290556233292,0.9997162601258575,0.9675,0.9673557119366853,0.09906900251750662,0.9165954534472817,0.455,0.4538707058024112,2.790996307692348,['XGBClassifier_1'],17317.5663189888,"[('XGBClassifier_1', 'SimpleImputer_1')]",0.9999877695256052,0.9941666666666666,0.9941006232075029,0.06406571818255705,0.8707387674308323,0.3395,0.33968316836692214,3.061069202178097,"[('XGBClassifier_1', 'SimpleImputer_1')]",4135.209010839462
MNAR_0.01/,2.288765048912543,"{'model_name': 'SimpleImputer', 'strategy': 'mean'}",1.0,1.0,1.0,0.010985038312840228,0.9997178247160178,0.969,0.9687641714253973,0.10009822497258687,0.9994287728686545,0.96,0.9597655571489704,0.13566666576784958,['XGBClassifier_1'],8375.347129583359,"[('XGBClassifier_1', 'SimpleImputer_1')]",1.0,1.0,1.0,0.011686223573622622,0.9995933266601083,0.9705,0.9702485717220046,0.11412984738201541,"[('XGBClassifier_1', 'SimpleImputer_1')]",4151.572978258133
MNAR_0.1/,2.2996387410849612,"{'model_name': 'SimpleImputer', 'strategy': 'median'}",0.9999581090522743,0.9920555555555556,0.9919772796189694,0.04042508454329125,0.999809076126219,0.972,0.9716651685964011,0.09998050685992138,0.9879112531169958,0.822,0.8218982152646903,0.6572759612843226,['SVC_1'],26847.85130381584,"[('XGBClassifier_1', 'SimpleImputer_1')]",1.0,1.0,1.0,0.009596997467357891,0.9985804117838432,0.9275,0.9274206921812307,0.24157613823592783,"[('XGBClassifier_1', 'SimpleImputer_1')]",6019.3140206336975
MNAR_0.3/,2.1854041458316864,"{'model_name': 'SimpleImputer', 'strategy': 'median'}",0.9998977767502122,0.9863888888888889,0.9862463745841279,0.05818856390797567,0.9997953293149482,0.968,0.9676923077122009,0.10579771851737092,0.921933676245589,0.526,0.5260812483490577,1.8094132180888578,['SVC_1'],28056.305228471756,"[('XGBClassifier_1', 'SimpleImputer_1')]",0.9999942678174142,0.9982222222222222,0.9982082506606672,0.0958244033717665,0.9874622845230601,0.775,0.7745915049037813,0.737203829286972,"[('XGBClassifier_1', 'SimpleImputer_1')]",4113.648114442825
MNAR_0.5/,2.7333893120668207,"{'model_name': 'SimpleImputer', 'strategy': 'mean'}",0.9999356729129191,0.9892777777777778,0.989157141584194,0.0469831738220774,0.9997955264786905,0.973,0.9726575342931192,0.10206952917090643,0.8199203672786927,0.3085,0.3084286755713629,2.796088182463136,['SVC_1'],22363.189603805542,"[('XGBClassifier_1', 'SimpleImputer_1')]",0.9984083451832925,0.9285555555555556,0.9282485280514643,0.4397381432488532,0.9641166982685767,0.6185,0.6178279306349895,1.2381526737679271,"[('XGBClassifier_1', 'SimpleImputer_1')]",26625.85880470276
MNAR_0.9/,1.9442343900580041,"{'model_name': 'SimpleImputer', 'strategy': 'mean'}",0.9997354766769355,0.9647777777777777,0.9646240378195456,0.11229194961604898,0.9994446790476599,0.935,0.9346165714671947,0.17410594711620575,0.605528713412939,0.0685,0.06963126213006847,10.137215776259676,['MLPClassifier_1'],4628.77321600914,"[('XGBClassifier_1', 'SimpleImputer_1')]",0.8067425390659927,0.25266666666666665,0.2519388865660808,2.537370865300296,0.6957481898605393,0.123,0.12284319739421898,2.988098208976527,"[('XGBClassifier_1', 'SimpleImputer_1')]",3551.391568183899
MCAR_0.01/,2.2939781631947453,"{'model_name': 'SimpleImputer', 'strategy': 'mean'}",1.0,1.0,1.0,0.0022820382812069597,0.9998206415448861,0.9735,0.9732490057173011,0.08839479017843765,0.9996815005786287,0.9655,0.9653865121212502,0.11397460625357905,['GradientBoostingClassifier_1'],15120.371686697006,"[('MLPClassifier_1', 'SimpleImputer_1')]",0.999383210123131,0.9466666666666667,0.9462212815800656,0.17579078923812375,0.9984245504790967,0.928,0.927812333966206,0.25540882244413166,"[('MLPClassifier_1', 'SimpleImputer_1')]",4928.399822473526
MCAR_0.1/,2.2634463131543745,"{'model_name': 'SimpleImputer', 'strategy': 'median'}",1.0,1.0,1.0,0.019554229948629046,0.9997205430542784,0.9685,0.9682255508420152,0.10758395818842774,0.9919283701880991,0.848,0.8478155275132614,0.5589246177540238,['XGBClassifier_1'],3433.0026910305023,"[('XGBClassifier_1', 'SimpleImputer_1')]",1.0,1.0,1.0,0.015991644273429258,0.9980720706832302,0.9185,0.9178468726267095,0.27669845393637515,"[('XGBClassifier_1', 'SimpleImputer_1')]",21127.03220152855
MCAR_0.3/,2.1800009916527694,"{'model_name': 'SimpleImputer', 'strategy': 'median'}",1.0,1.0,1.0,0.003990733083974942,0.9996591761489912,0.9695,0.9692180807822601,0.10782872612708504,0.9376615982370106,0.5715,0.5714886504104405,1.8816930197593515,['XGBClassifier_1'],4208.774138689041,"[('RandomForestClassifier_1', 'SimpleImputer_1')]",0.9999908625678567,0.9985,0.9985057957864876,0.3201395028218933,0.9858215358274258,0.7755,0.7749292469305674,0.9298000844226131,"[('RandomForestClassifier_1', 'SimpleImputer_1')]",13650.11772608757
MCAR_0.5/,2.711887087752362,"{'model_name': 'SimpleImputer', 'strategy': 'mean'}",0.9999142682664478,0.9872777777777778,0.9871623395096163,0.05308428740621557,0.9998020116068544,0.9705,0.9702121389558054,0.10382710287090009,0.8119717401321412,0.311,0.3110115100436611,2.891741796407595,['SVC_1'],22230.819779634476,"[('XGBClassifier_1', 'SimpleImputer_1')]",0.9986225379384058,0.9405555555555556,0.9403502130967432,0.4070497225162628,0.9643464239424253,0.6315,0.6308392507259458,1.2093562086440488,"[('XGBClassifier_1', 'SimpleImputer_1')]",8368.218137025833
MCAR_0.9/,1.8557556222232332,"{'model_name': 'SimpleImputer', 'strategy': 'mean'}",0.9999532898716935,0.9915,0.9914166920516133,0.042560419311241715,0.9998149730361952,0.9725,0.972157549225768,0.10064874101721778,0.5783565858882475,0.0735,0.07479365449852333,4.586436689289235,['SVC_1'],26986.574788331985,"[('ExtraTreesClassifier_1', 'SimpleImputer_1')]",0.841459674045776,0.3020555555555556,0.3013772251430788,2.5235980799199074,0.7274513901853982,0.1375,0.13695440502259099,2.8708708836131747,"[('ExtraTreesClassifier_1', 'SimpleImputer_1')]",2261.534951210022
